"id","navisid","de","en","desc_de","synonym","desc_en","origindesc","fk_id_parent","gettyaat","gettyaatrelationtype","wikidata","wikidatarelationtype"
"5AB2C6",,,,,,,,,,,,
"479AB8",,,,,,,,,,,,
"89D1BE",,,,,,,,,,,,
"5133C5",,,,,,,,,,,,
"3FE599",,,,,,,,,,,,
"2E74C1",,,,,,,,,,,,
"D44878",,,,,,,,,,,,
"627E4D",,,,,,,,,,,,
"2AC25A",,,,,,,,,,,,
"751C53",,,,,,,,,,,,
"DC4BF2",,,,,,,,,,,,
"8ADFD3",,,,,,,,,,,,
"EDEA50",,,,,,,,,,,,
"6F6300",,,,,,,,,,,,
"639D9F",,,,,,,,,,,,
"FD7CE9",,,,,,,,,,,,
"A3F179",,,,,,,,,,,,
"0115A6",,,,,,,,,,,,
"CDBADE",,,,,,,,,,,,
"1C71A9",,,,,,,,,,,,
"6E18AF",,,,,,,,,,,,
"1A3B60",,,,,,,,,,,,
"1C13B8",,,,,,,,,,,,
"8D873A",,,,,,,,,,,,
"54C0CA",,,,,,,,,,,,
"E02242",,,,,,,,,,,,
"59485F",,,,,,,,,,,,
"C596CC",,,,,,,,,,,,
"C53BAB",,,,,,,,,,,,
"4B2D0A",,,,,,,,,,,,
"923CE3",,,,,,,,,,,,
"0AA820",,,,,,,,,,,,
"CFCFE9",,,,,,,,,,,,
"9E9267",,,,,,,,,,,,
"8E66E2",,,,,,,,,,,,
"EC511A",,,,,,,,,,,,
"2F4007",,,,,,,,,,,,
"F445DB",,,,,,,,,,,,
"38391E",,,,,,,,,,,,
"37BF5B",,,,,,,,,,,,
"E76033",,,,,,,,,,,,
"469A2F",,,,,,,,,,,,
"AC2F35",,,,,,,,,,,,
"BB341F",,,,,,,,,,,,
"86C09A",,,,,,,,,,,,
"2B4469",,,,,,,,,,,,
"67ABC7",,,,,,,,,,,,
"F08D42",,,,,,,,,,,,
"FE0F28",,,,,,,,,,,,
"D2360A",,,,,,,,,,,,
"1FF221",,,,,,,,,,,,
"A764E0",,,,,,,,,,,,
"BD8505",,,,,,,,,,,,
"9514ED",,,,,,,,,,,,
"9F5055",,,,,,,,,,,,
"DE394D",,,,,,,,,,,,
"A946AC",,,,,,,,,,,,
"2E63B5",,,,,,,,,,,,
"A604BF",,,,,,,,,,,,
"238C9F",,,,,,,,,,,,
"CC2BE5",,,,,,,,,,,,
